run_id,seed,scenario_id,replicate_id,scenario_seed,algorithm_seed,algorithm,fitness,reported_fitness,base_fitness,search_fitness,penalty_scale,report_penalty_scale,search_penalty,report_penalty,energy_norm,delay_norm,aoi_norm,energy,delay,aoi,qoe,fairness,csr,nfe_used,max_evaluations,runtime,experiment,lambda0,alpha
3,688560886,3,1,688560886,1926491307,RDHO,0.8826338558262032,0.8826338558262032,0.6159671891595365,1.8159671891595368,4.5,1.0,1.2000000000000002,0.2666666666666667,0.6753535607103174,0.906110950454936,0.972935716989598,90.49622403014146,1.5636971216429238,1.877526203571407,0.3433035113849509,0.9200550122677336,0.7333333333333333,15011,15050,9.736577699892225,dynamic_penalty,0.5,2.0
4,690808977,4,1,690808977,1928739398,RDHO,1.1346887948505606,1.1346887948505606,0.7346887948505607,2.5346887948505605,4.5,1.0,1.8,0.4,0.8304501604950175,1.197996942377204,1.1599437146244225,84.5915114063589,2.0025100757196634,2.354411626951794,0.3121462436802774,0.8941218103403504,0.6,15011,15050,9.600232900120318,dynamic_penalty,0.5,2.0
5,693057068,5,1,693057068,1930987489,RDHO,0.7415604850383807,0.7415604850383807,0.5415604850383807,1.4415604850383803,4.5,1.0,0.8999999999999998,0.1999999999999999,0.5965398954372219,0.7316218387318585,0.8181480215103949,71.04634577675276,1.4448080795810814,1.81612622921289,0.354861645154534,0.9303118724017077,0.8,15011,15050,9.311367300339043,dynamic_penalty,0.5,2.0
6,695305159,6,1,695305159,1933235580,RDHO,0.8672506460924864,0.8672506460924864,0.6339173127591531,1.683917312759153,4.5,1.0,1.0499999999999998,0.2333333333333332,0.7409123094169068,0.9249266167163424,0.9709927082264496,102.70408186629676,1.6674872177640605,2.056795533700312,0.3290477792368696,0.9115804919876276,0.7666666666666667,15011,15050,8.96523439977318,dynamic_penalty,0.5,2.0
7,697553250,7,1,697553250,1935483671,RDHO,1.0629848700892222,1.0629848700892222,0.7213182034225556,2.258818203422556,4.5,1.0,1.5375,0.3416666666666667,0.6631279044964826,1.2241418636682837,1.2264238639787155,75.71847967135739,1.5800164739830724,1.8763605107449168,0.3179982520550259,0.910229886336584,0.6583333333333333,15011,15050,9.124918699730188,dynamic_penalty,0.5,2.0
8,699801341,8,1,699801341,1937731762,RDHO,0.8081987588272052,0.8081987588272052,0.5748654254938719,1.6248654254938717,4.5,1.0,1.0499999999999998,0.2333333333333332,0.5895289050149353,0.8388449673439059,0.8749692751468843,74.24674037543227,1.602534262885645,1.977303172214325,0.3379965941855348,0.9195414473717892,0.7666666666666667,15011,15050,8.947202800307423,dynamic_penalty,0.5,2.0
9,702049432,9,1,702049432,1939979853,RDHO,1.1020344570023657,1.1020344570023657,0.768701123669032,2.2687011236690324,4.5,1.0,1.5000000000000002,0.3333333333333333,0.7170620990661246,1.3106766734369433,1.2965822209984452,97.4825513387066,1.866501860860512,2.167708052009104,0.3036981490876993,0.8754063965367698,0.6666666666666666,15011,15050,8.855466600041837,dynamic_penalty,0.5,2.0
10,3782276182,10,1,3782276182,2742404085,RDHO,1.0628465248533718,1.0628465248533718,0.7461798581867053,2.171179858186705,4.5,1.0,1.4249999999999998,0.3166666666666666,0.8355244119073039,1.143367677177761,1.2109144869639468,96.447923561764,1.6542607710353303,1.957207448768982,0.3000199240986017,0.8713274861767731,0.6833333333333333,15011,15050,9.05074270023033,dynamic_penalty,0.5,2.0
11,3784524273,11,1,3784524273,2744652176,RDHO,0.8884069909015168,0.8884069909015168,0.62174032423485,1.8217403242348504,4.5,1.0,1.2000000000000002,0.2666666666666667,0.7106409441127377,0.9076440658220551,0.9589241500929172,87.53986421529784,1.7698741344845796,2.1367003173672647,0.3290679296701179,0.9220810994256916,0.7333333333333333,15011,15050,9.251997100189328,dynamic_penalty,0.5,2.0
12,3786772364,12,1,3786772364,2746900267,RDHO,0.9601381326293944,0.9601381326293944,0.6684714659627279,1.980971465962728,4.5,1.0,1.3124999999999998,0.2916666666666666,0.6321691090351564,1.139403232094186,1.0543102781167462,82.77782232327937,1.4596427436808448,1.7565742022383284,0.3413490838701712,0.8911566794499194,0.7083333333333334,15011,15050,9.066161599941552,dynamic_penalty,0.5,2.0
