run_id,seed,algorithm,fitness,base_objective,penalty,search_fitness,energy,delay,aoi,qoe,fairness,csr,hard_feasible,capacity_utilisation_mean,capacity_utilisation_max,assignment_unique,runtime,nfe,pre_refinement_fitness,local_refinement_gain,experiment,setting,description,weights,w_energy,w_delay,w_aoi,w_qoe,w_fairness
2,20260702,RDHO,1.1075071642506338,0.7491738309173005,0.3583333333333333,3.9741738309173,71.89272570448762,1.9669215489459717,2.278719799946982,0.4229868672967439,0.93289477012101,0.6416666666666667,1,0.8708275792693791,1.0,1,8.513050667000016,10232,1.1432191761915402,0.0357120119409064,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
3,20260703,RDHO,0.8921064288817507,0.6671064288817508,0.2249999999999999,2.6921064288817504,55.83903033749931,1.6763079622701944,2.0048296279519846,0.4759917827251103,0.936393980078424,0.775,1,0.8068712312990891,1.0000000000000002,1,8.845376791999968,10232,1.0867149463044896,0.1946085174227388,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
4,20260704,RDHO,0.8255942015314385,0.6422608681981051,0.1833333333333333,2.292260868198105,87.08387450810358,1.9393440906678512,2.2740633167111985,0.4833020762019069,0.936731988383373,0.8166666666666667,1,0.8583996905533438,1.0,1,8.656978249999952,10232,0.8530918442141812,0.0274976426827426,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
5,20260705,RDHO,0.9992291969174182,0.7158958635840849,0.2833333333333333,3.2658958635840847,96.47179587289337,2.060702086280267,2.3997527767823064,0.4351175980489564,0.924634751562328,0.7166666666666667,1,0.8003632830023671,1.0000000000000002,1,9.01788966700002,10232,1.0488821676808382,0.04965297076342,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
6,20260706,RDHO,1.0728531149813851,0.7645197816480518,0.3083333333333333,3.5395197816480524,93.27003757187065,1.8324392067078483,2.1507160814265696,0.4220474312610076,0.9232186337250682,0.6916666666666667,1,0.8246162716431992,1.0000000000000002,1,8.82959575000001,10232,1.10976446894308,0.0369113539616949,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
7,20260707,RDHO,1.2150535733445476,0.8567202400112142,0.3583333333333333,4.081720240011213,77.51072283175856,2.480392277035495,2.8144262166254266,0.408779683978529,0.9054412527070812,0.6416666666666667,1,0.7901979080126784,1.0000000000000002,1,8.598989667000012,10232,1.306927102498854,0.0918735291543064,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
8,20260708,RDHO,1.1029841262048792,0.7696507928715458,0.3333333333333333,3.769650792871546,82.87836728748394,2.069217659920696,2.3893231600018185,0.4248337935437002,0.9313674011419631,0.6666666666666666,1,0.8173557415952311,1.0000000000000002,1,8.713535875000048,10232,1.137652847252173,0.0346687210472937,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
9,20260709,RDHO,0.9502763099503037,0.7086096432836368,0.2416666666666667,2.883609643283637,87.46478984571982,1.9380044164665096,2.2825206597095073,0.4527805360371931,0.9388793530566124,0.7583333333333333,1,0.7896824022369067,1.0,1,8.665120874999957,10232,0.9642170565653024,0.0139407466149988,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
10,20260710,RDHO,1.0606418101985409,0.7273084768652075,0.3333333333333333,3.727308476865208,92.9169991443147,1.7235678428639871,2.0055045027504064,0.4248384982463462,0.8823737060928722,0.6666666666666666,1,0.8502817641926178,1.0,1,8.960042499999986,10232,1.1085089400251724,0.0478671298266315,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
11,20260711,RDHO,0.744339870601895,0.569339870601895,0.175,2.1443398706018955,62.31374414380402,1.5484902913661338,1.8859012109884008,0.5187284158672366,0.9202423701942422,0.825,1,0.8591787924996728,1.0,1,8.598334958999999,10232,0.7664700041658771,0.022130133563982,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
12,20260712,RDHO,1.3093820152884632,0.90104868195513,0.4083333333333333,4.57604868195513,116.92066619421522,1.9811390705116496,2.254774786502246,0.3728657385752442,0.927141784115238,0.5916666666666667,1,0.8845749291859377,1.0000000000000002,1,8.75341129200001,10232,1.340208006598599,0.0308259913101358,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
13,20260713,RDHO,0.9682433079325776,0.7015766412659109,0.2666666666666667,3.101576641265911,57.56756881080121,1.6880121804000154,2.00206734196098,0.4645860555306705,0.9100709374332016,0.7333333333333333,1,0.729243379986636,1.0000000000000002,1,8.875397583000051,10232,1.1249568430499852,0.1567135351174076,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
14,20260714,RDHO,1.0228423674662224,0.7228423674662223,0.3,3.4228423674662225,118.80244664158232,1.5843274827828868,1.9227579704157016,0.4428467254797934,0.914217041312433,0.7,1,0.8516541978439507,1.0000000000000002,1,8.852791749999994,10232,1.1448213860249692,0.1219790185587468,objective_weight,S2,Equal weighting,"(0.200, 0.200, 0.200, 0.200, 0.200)",0.2,0.2,0.2,0.2,0.2
